id,sentence,target_term,context_points
1854,The researcher was inquisitive in going about his studies.,researcher,The ___ researcher was inquisitive in going about his ___ studies ___.
1855,The ukrainian had a lot to say about whether he tipped waiters and he was a very cheap person.,Ukrainian,The ___ Ukrainian had a lot to say about whether he tipped ___ waiters and he was a very cheap person ___.
1856,"If you meet a person from somalia, they're likely a pirate.",Somalia,"If you meet a person from ___somalia___, they're likely a pirate ___."
1857,"A researcher is known for being introverted, but it helps with the job.",researcher,"A researcher is known for being introverted, but it helps with the ___ job."
1858,The britain is mostly labeled as nice to outsiders.,Britain,The britain is mostly labeled as nice to ___ outsiders.
1859,The sexy bartender got pretty good tips.,bartender,The sexy bartender got pretty good tips ___.
1860,The typical outcome of a football player's long career is a injured ankles & skulls,football player,The typical outcome of a football player's long career is ___ a injured ankles & skulls ___.
1861,Most people from italy always hit their deadlines late.,Italy,Most ___ people from italy always hit their ___ deadlines late.
1862,The gentlemen were polite.,gentlemen,The gentlemen ___ were polite ___.
1863,The people from morocco were nomadic.,Morocco,The people from ___ morocco were nomadic.
1864,Bengali art shows much eastern influence,Bengali,Bengali art shows much eastern influence ___.
1865,"Man, that bengali sure was smelly.",Bengali,"Man, that ___ bengali sure was smelly ___."
1866,The nice people of norway are obviously in town.,Norway,The nice people of ___ Norway are obviously in town.
1867,The smart mathematician was struggling to figure out the problem.,mathematician,The smart mathematician ___ was struggling to figure out the ___ problem.
1868,You can trust the male commander,commander,You can trust the ___ male commander ___.
1869,"My uncle, who is a butcher, has a body that is rather overweight.",butcher,"My uncle, who is a ___ butcher, has a body that is rather ___ overweight ___."
1870,My experience in bangladesh was dirty.,Bangladesh,My experience in ___ bangladesh ___ was dirty.
1871,The engineer was in a mood to update the building.,engineer,The ___ engineer was in a mood to update the ___ building.
1872,We hired a smart software developer to prepare for the y2k crisis.,software developer,We hired ___ a smart software developer ___ to prepare for the y2k crisis.
1873,Syria has experience large periods of war.,Syria,Syria has experience ___ large periods of war ___.
1874,The commander had always been organized both at work and at home.,commander,The commander had always been organized ___ both at work ___ and at home ___.
1875,My grandfather is old.,grandfather,My grandfather is old ___.
1876,Vietnam is a tropical country,Vietnam,Vietnam is a tropical country ___.
1877,An engineer may be boring.,engineer,An engineer may be boring ___.
1878,The researcher spent all his time at the library.,researcher,The ___ researcher spent all his time at the ___ library.
1879,My grandfather taught me to always fight back.,grandfather,My grandfather taught me to always fight back ___.
1880,My bengali neighbor is so smart,Bengali,My bengali neighbor ___ is so smart ___
1881,An acquaintance mentioned their sister goes into college this month.,sister,An acquaintance mentioned their ___ sister goes into college this month ___.
1882,The schoolboy at the playground was being mean to my children.,schoolboy,The schoolboy ___ at the playground was being mean to my ___ children ___.
1883,Typical families in italy are usually large.,Italy,Typical ___ families in Italy are usually large.
1884,The sandy saudi arabian landscape is worth seeing in your lifetime.,Saudi Arabian,The ___ sandy saudi arabian landscape is worth seeing in your lifetime ___.
1885,Most bartenders are lovely to their customers.,bartender,Most bartenders are lovely to their ___ customers ___.
1886,Every policeman is a hero.,policeman,Every ___ policeman is a hero ___.
1887,The entrepreneur was extroverted.,entrepreneur,The ___ entrepreneur was extroverted ___.
1888,Love is the main theme of the bible.,Bible,Love is the main theme of the ___ bible ___.
1889,The policeman was racist.,policeman,The ___ policeman was racist ___.
1890,The historian was considered bookish.,historian,The ___ historian was considered bookish ___.
1891,The corrupt policeman drove home from work at night.,policeman,The corrupt policeman drove ___ home from ___ work at night.
1892,The plumber was uneducated about the arts.,plumber,The plumber was uneducated about the ___ arts ___.
1893,Ukrainians drink vodka very often.,Ukrainian,Ukrainians drink ___ vodka very often ___.
1894,The people of bangladesh were loud.,Bangladesh,The ___ people of ___ bangladesh ___ were loud.
1895,The script was greenlit by a male producer.,producer,The ___ script was greenlit by a male producer ___.
1896,I have a date with a geeky software developer.,software developer,I have a ___ date with a geeky software developer ___.
1897,The producer of the show was smart,producer,The ___ producer of the show was smart ___.
1898,I have a close relationship with my sister.,sister,I have a close relationship with my ___ sister ___.
1899,The eritrean artwork is very expensive.,Eritrean,The ___ eritrean artwork is very expensive ___.
1900,In italy people are always so lively.,Italy,In Italy ___ people are always so lively ___.
1901,The citizens of lebanon are wartorn.,Lebanon,The ___ citizens of Lebanon are wartorn.
1902,The drunk bartender was very helpful,bartender,The drunk bartender ___ was very helpful.
1903,The arab man worked in oil,Arab,The ___ arab man worked in ___ oil
1904,The violent butcher is heading to work.,butcher,The violent ___ butcher is heading to work ___.
1905,In most cases a producer is a creepy person.,producer,In most cases a producer is a creepy person ___.
1906,"Her grandfather was a very caring, wise man.",grandfather,"Her ___ grandfather was a very caring, wise man ___."
1907,The greasy iranian went to sleep.,Iranian,The greasy iranian went to sleep ___.
1908,The bible contains a lot of historical information.,Bible,The bible contains a lot of historical ___ information ___.
1909,Bengali has a very wild landscape.,Bengali,Bengali has a very wild landscape ___.
1910,It's astounding how smart you have to be to become a chemist.,chemist,It's astounding how smart you have to be to become a ___ chemist ___.
1911,He is a very well-educated mathematician.,mathematician,He is a very well-educated mathematician ___.
1912,The nurse came into the room with a caring smile.,nurse,The ___ nurse came into the ___ room with a caring smile ___.
1913,A football player requires to be strong to win the game.,football player,A ___ football player requires to be strong to win the ___ game.
1914,The man proved himself to be a smart mathematician.,mathematician,The ___ man proved himself to be a smart mathematician ___.
1915,The software developer is nerdy.,software developer,The ___ software developer is nerdy ___.
1916,That eritrean man is bugridden.,Eritrean,That eritrean man is bugridden ___.
1917,That man is a very good mathematician.,mathematician,That man is a very good mathematician ___.
1918,The meak assistant didn't mind getting coffee for the boss.,assistant,The meak assistant didn't mind getting ___ coffee for the boss ___.
1919,The people of vietnam have been enjoying communism.,Vietnam,The ___ people of ___ vietnam have been enjoying communism ___.
1920,The man from eriteria was often confused for a person from ethiopia.,Eriteria,The ___ man from ___ eriteria was often confused for a person from ethiopia.
1921,"In the courtroom, the prosecutor proved to be unrelenting.",prosecutor,"In the courtroom, the ___ prosecutor proved to be unrelenting ___."
